dataset,alpha,experiment,volume_levelset,volume_likelihood,volume_one,volume_ot,coverage_levelset,coverage_likelihood,coverage_one,coverage_ot,ERT_levelset,ERT_likelihood,ERT_one,ERT_ot,WSC_levelset,WSC_likelihood,WSC_one,WSC_ot
casp,0.05,7,2.8977416,2.8333123,3.1499083,3.5857348828752724,0.9519020550940096,0.9519020550940096,0.9525579361609094,0.9564932225623088,0.0149878669250352,0.0135778636422699,0.0264116719837539,0.0261051112593365,0.8514056205749512,0.8634538054466248,0.8384279608726501,0.856521725654602
casp,0.05,8,2.0781953,2.044831,2.398493,2.848498185976617,0.9514648010494096,0.9510275470048098,0.9512461740271098,0.95015303891561,0.0062738018866281,0.0071046413857421,0.0227582410603137,0.0241802242456739,0.8777292370796204,0.8765957355499268,0.8558952212333679,0.8448275923728943
scm1d,0.1,7,3.9892364,3.9521432,4.3262644,4.733791902826329,0.8797145769622834,0.9031600407747196,0.8950050968399592,0.9051987767584098,0.0339034441899823,0.0577975860163669,0.0881643113392962,0.0651258780291126,0.7070707082748413,0.7373737096786499,0.6399999856948853,0.7171717286109924
scm1d,0.1,3,3.5862422,3.4674747,4.2170725,4.446464476295272,0.8970438328236493,0.9062181447502548,0.91131498470948,0.8939857288481141,0.0035926665973752,0.05860562832704,0.0896001371734193,0.0669595031346556,0.7373737096786499,0.6930692791938782,0.6944444179534912,0.6868686676025391
scm1d,0.1,2,5.0457554,4.928812,5.534751,6.85014332269853,0.9123343527013252,0.9133537206931702,0.9011213047910296,0.872579001019368,0.0186284183875447,0.0767440335202017,0.1154926042303351,0.0649269692850621,0.7647058963775635,0.6262626051902771,0.6355140209197998,0.6372548937797546
scm1d,0.1,6,3.6633422,3.5566516,4.3218317,4.855499868617563,0.9021406727828746,0.8960244648318043,0.8939857288481141,0.9031600407747196,0.0049694470589634,0.0384274415360773,0.0918377808742568,0.0547560418577104,0.7599999904632568,0.6969696879386902,0.6262626051902771,0.7070707082748413
casp,0.1,5,1.7663243,1.755613,1.9146534,1.9516090192786133,0.8954962833406209,0.8889374726716223,0.8895933537385221,0.8895933537385221,0.013423540130158,0.0352432988703188,0.0544823852202709,0.0414972459717007,0.8148936033248901,0.7857142686843872,0.7741273045539856,0.7978261113166809
casp,0.1,3,1.207673,1.207151,1.3247696,1.3775618962610705,0.8992129427197202,0.8994315697420201,0.8996501967643201,0.8972452995190205,0.0200255916516342,0.0361189119925099,0.0498475048206222,0.0550506941287021,0.8246346712112427,0.7700650691986084,0.7440347075462341,0.7510638236999512
casp,0.1,1,1.0119951,1.0165292,1.1811994,1.1720688405764272,0.8965894184521207,0.8928727590730214,0.8974639265413205,0.8933100131176214,0.0269805215977611,0.041583480550105,0.0571947780382819,0.0617407946104189,0.8034188151359558,0.7620087265968323,0.7663755416870117,0.7543103694915771
casp,0.1,6,2.3286166,2.332169,2.817855,2.794476436104072,0.8972452995190205,0.9000874508089199,0.8968080454744206,0.8957149103629208,0.0272431519109894,0.0307842830284795,0.0558837805547389,0.0571065798057914,0.8056768774986267,0.8122270703315735,0.7751091718673706,0.7647058963775635
casp,0.1,4,3.4151824,3.4299817,3.7813187,3.922321853628247,0.8987756886751203,0.9053344993441188,0.90030607783122,0.9038041101880192,0.0291206404305022,0.0314816351846079,0.0487985143607789,0.039526356371585,0.8104575276374817,0.8170212507247925,0.8008213639259338,0.790861189365387
casp,0.05,5,2.2135203,2.1868677,2.388516,2.78759700219766,0.95037166593791,0.9442501093135112,0.9442501093135112,0.9422824661128116,0.0060097614485938,0.0187583578034729,0.03268577871424,0.0219741496193551,0.8655462265014648,0.8538461327552795,0.8209607005119324,0.8369098901748657
biais,0.05,9,1.3665218,1.3165386,1.5168495,2.4356820760586086,0.952319587628866,0.9445876288659794,0.9497422680412372,0.979381443298969,0.0110860244580987,0.0101910660452247,0.0193713843773178,0.0302671726219312,0.75,0.7317073345184326,0.7560975551605225,0.8205128312110901
casp,0.1,2,1.3178239,1.3096031,1.4148979,1.3868001139065034,0.9020550940096196,0.8972452995190205,0.889811980760822,0.8893747267162221,0.0208573407896825,0.0288577217873898,0.0448195552166813,0.0459110182375127,0.813524603843689,0.8061224222183228,0.7887930870056152,0.7794432640075684
casp,0.05,3,1.508255,1.5142218,1.6582307,2.218959848070749,0.9527765631832096,0.9543069523393092,0.94971578487101,0.9521206821163096,0.0123505435454787,0.0107142136412855,0.0320289190047494,0.0289455650015849,0.8733624219894409,0.8777292370796204,0.7316017150878906,0.7816593647003174
casp,0.05,1,1.2145704,1.2127243,1.4131523,1.531397920493819,0.94971578487101,0.9490599038041102,0.9462177525142108,0.9486226497595104,-0.0008531502404696,0.0098604376609906,0.0325759616467559,0.0231950391441745,0.8608695864677429,0.856521725654602,0.807860255241394,0.8468084931373596
