dataset,experiment,alpha,coverage_nan,coverage_full
rf2,2,0.05,0.950765864332604,0.9179431072210066
rf1,8,0.1,0.9102844638949672,0.8949671772428884
rf1,8,0.05,0.9474835886214442,0.9332603938730852
rf1,7,0.1,0.9004376367614879,0.8851203501094091
rf1,7,0.05,0.9584245076586432,0.937636761487965
rf2,0,0.1,0.8982494529540481,0.9113785557986872
rf2,0,0.05,0.9452954048140044,0.9474835886214442
rf2,7,0.1,0.9299781181619255,0.9102844638949672
rf2,7,0.05,0.9617067833698032,0.9431072210065644
rf1,9,0.1,0.9091903719912472,0.8927789934354485
rf1,9,0.05,0.9540481400437636,0.9354485776805253
rf2,1,0.1,0.9004376367614879,0.8687089715536105
rf2,1,0.05,0.9398249452954048,0.9168490153172868
rf2,3,0.1,0.912472647702407,0.8796498905908097
rf2,3,0.05,0.9452954048140044,0.9201312910284464
rf2,6,0.1,0.8851203501094091,0.8818380743982495
rf2,6,0.05,0.9474835886214442,0.9343544857768052
rf2,4,0.1,0.9091903719912472,0.8829321663019694
rf2,4,0.05,0.9573304157549234,0.9234135667396062
rf2,9,0.1,0.8949671772428884,0.8971553610503282
rf2,9,0.05,0.9540481400437636,0.9387308533916848
house,2,0.1,0.8908418131359852,0.8755781683626273
house,2,0.05,0.9444958371877892,0.9222941720629048
house,1,0.1,0.9014801110083256,0.8718778908418131
house,1,0.05,0.954209065679926,0.9250693802035151
house,3,0.1,0.9079555966697502,0.8940795559666975
house,3,0.05,0.9592969472710452,0.942645698427382
house,8,0.1,0.877890841813136,0.851063829787234
house,8,0.05,0.9333950046253467,0.9098057354301572
rf2,5,0.1,0.9026258205689278,0.8774617067833698
rf2,5,0.05,0.9452954048140044,0.9288840262582057
rf2,8,0.1,0.9026258205689278,0.87527352297593
rf2,8,0.05,0.9617067833698032,0.9343544857768052
house,7,0.1,0.8922294172062905,0.8852913968547641
house,7,0.05,0.9546716003700276,0.940795559666975
house,0,0.1,0.9033302497687328,0.8885291396854764
house,0,0.05,0.9546716003700276,0.937095282146161
house,5,0.1,0.9000925069380203,0.877890841813136
house,5,0.05,0.9500462534690102,0.9343200740055504
house,6,0.1,0.8792784458834413,0.8612395929694727
house,6,0.05,0.9431082331174838,0.9269195189639224
house,9,0.1,0.8963922294172063,0.8783533765032377
house,9,0.05,0.942645698427382,0.9218316373728028
biais,0,0.1,0.904639175257732,0.865979381443299
biais,0,0.05,0.9445876288659794,0.9201030927835052
biais,4,0.1,0.9201030927835052,0.865979381443299
biais,4,0.05,0.9536082474226804,0.9213917525773196
biais,6,0.1,0.8969072164948454,0.8479381443298969
biais,6,0.05,0.9652061855670104,0.9213917525773196
biais,1,0.1,0.9007731958762888,0.854381443298969
biais,1,0.05,0.9587628865979382,0.9291237113402062
biais,5,0.1,0.8904639175257731,0.8144329896907216
biais,5,0.05,0.9574742268041238,0.8981958762886598
biais,3,0.1,0.8917525773195877,0.8234536082474226
biais,3,0.05,0.9600515463917526,0.9162371134020618
biais,7,0.1,0.9085051546391752,0.8569587628865979
biais,7,0.05,0.9587628865979382,0.9188144329896908
biais,2,0.1,0.9072164948453608,0.8582474226804123
biais,2,0.05,0.963917525773196,0.9278350515463918
biais,8,0.1,0.8853092783505154,0.8440721649484536
biais,8,0.05,0.9574742268041238,0.9265463917525774
biais,9,0.1,0.9123711340206184,0.854381443298969
biais,9,0.05,0.9626288659793816,0.9265463917525774
taxi,6,0.1,0.8895595432300163,0.8955954323001631
taxi,6,0.05,0.9464926590538336,0.933115823817292
casp,0,0.1,0.905115872321819,0.8992129427197202
casp,0,0.05,0.9519020550940096,0.9372540445999126
casp,1,0.1,0.8858766943594228,0.8780061215566244
casp,1,0.05,0.9488412767818102,0.935067774376913
house,4,0.1,0.9000925069380203,0.8843663274745606
house,4,0.05,0.95790934320074,0.946345975948196
casp,5,0.1,0.895059029296021,0.8869698294709226
casp,5,0.05,0.9484040227372104,0.929602098819414
taxi,0,0.1,0.8988580750407831,0.8949429037520391
taxi,0,0.05,0.9497553017944536,0.9429037520391516
casp,4,0.1,0.9038041101880192,0.9038041101880192
casp,4,0.05,0.9523393091386096,0.9488412767818102
